reference1,col_name_x,col_name_y,col_name_x,col_name_y,col_name_x,col_name_y
Cl10g00001,,,,,,
Cl10g00002,,,,,,
Cl10g00003,,,,,,
Cl10g00004,,,,,,
Cl10g00005,,,,,,
Cl10g00006,,,,,,
Cl10g00007,,,,,,
Cl10g00008,Rpu1g6254,Rpu2g5703,Rpu3g1158,Rpu3g12834,Rbr4g2234,Rte2g2246
Cl10g00009,Rpu1g6255,Rpu2g5704,Rpu3g1157,Rpu3g12835,Rbr4g2235,Rte2g2248
Cl10g00010,Rpu1g6257,Rpu2g5706,Rpu3g1155,Rpu3g12837,Rbr4g2237,Rte2g2250
Cl10g00011,Rpu1g6258,Rpu2g5707,Rpu3g1154,Rpu3g12838,Rbr4g2238,Rte2g2251
Cl10g00012,Rpu1g6259,Rpu2g5708,Rpu3g1153,Rpu3g12839,Rbr4g2239,Rte2g2252
Cl10g00013,Rpu1g6260,Rpu2g5709,Rpu3g1152,Rpu3g12840,Rbr4g2240,Rte2g2253
Cl10g00014,,,,,,
Cl10g00015,,Rpu2g5710,Rpu3g1151,Rpu3g12841,Rbr4g2241,Rte2g2254
Cl10g00016,Rpu1g6261,Rpu2g5711,Rpu3g1150,Rpu3g12842,Rbr4g2242,Rte2g2255
Cl10g00017,Rpu1g6262,Rpu2g5713,Rpu3g1149,,Rbr4g2243,Rte2g2256
Cl10g00018,Rpu1g6263,,Rpu3g1148,Rpu3g12844,Rbr4g2244,Rte2g2258
Cl10g00019,,,,,,
Cl10g00020,Rpu1g6266,Rpu2g5714,Rpu3g1147,Rpu3g12847,Rbr4g2245,Rte2g2259
Cl10g00021,Rpu1g6267,Rpu2g5715,Rpu3g1146,Rpu3g12848,Rbr4g2246,Rte2g2260
Cl10g00022,Rpu1g6268,Rpu2g5716,Rpu3g1145,Rpu3g12849,Rbr4g2247,Rte2g2261
Cl10g00023,Rpu1g6269,Rpu2g5717,Rpu3g1144,Rpu3g12850,Rbr4g2248,Rte2g2262
Cl10g00024,,,,,,
Cl10g00025,Rpu1g6270,Rpu2g5718,Rpu3g1143,Rpu3g12851,Rbr4g2249,Rte2g2263
Cl10g00026,,,,,,
Cl10g00027,Rpu1g6271,Rpu2g5719,Rpu3g1142,Rpu3g12852,Rbr4g2250,Rte2g2264
Cl10g00028,Rpu1g6272,Rpu2g5720,Rpu3g1141,Rpu3g12853,Rbr4g2251,Rte2g2265
Cl10g00029,Rpu1g6273,Rpu2g5721,Rpu3g1140,Rpu3g12854,Rbr4g2252,Rte2g2266
Cl10g00030,Rpu1g6275,Rpu2g5723,Rpu3g1138,Rpu3g12856,Rbr4g2253,Rte2g2268
Cl10g00031,Rpu1g6276,Rpu2g5724,Rpu3g1137,Rpu3g12857,Rbr4g2254,Rte2g2269
Cl10g00032,Rpu1g6278,Rpu2g5727,Rpu3g1135,Rpu3g12859,Rbr4g2255,Rte2g2270
Cl10g00033,,,Rpu3g1134,Rpu3g12860,,
Cl10g00034,Rpu1g6279,Rpu2g5728,,,Rbr4g2256,Rte2g2271
Cl10g00035,,,Rpu3g1133,Rpu3g12861,,
Cl10g00036,,,,,,
Cl10g00037,Rpu1g6286,Rpu2g5734,Rpu3g1127,Rpu3g12867,Rbr4g2262,Rte2g2278
Cl10g00038,Rpu1g6289,Rpu2g5736,Rpu3g1124,Rpu3g12870,Rbr4g2264,Rte2g2279
Cl10g00039,Rpu1g6290,Rpu2g5737,Rpu3g1123,Rpu3g12871,Rbr4g2265,Rte2g2280
Cl10g00040,Rpu1g6291,Rpu2g5738,Rpu3g1122,Rpu3g12872,Rbr4g2266,Rte2g2281
Cl10g00041,Rpu1g6292,Rpu2g5740,Rpu3g1121,Rpu3g12873,Rbr4g2267,Rte2g2282
Cl10g00042,,,,,,Rte2g2283
Cl10g00043,Rpu1g6293,Rpu2g5741,Rpu3g1120,Rpu3g12874,Rbr4g2268,Rte2g2284
Cl10g00044,,,,,,
Cl10g00045,Rpu1g6294,Rpu2g5742,Rpu3g1119,Rpu3g12875,Rbr4g2269,Rte2g2285
Cl10g00046,,,,,,
Cl10g00047,Rpu1g6295,Rpu2g5744,Rpu3g1117,Rpu3g12876,Rbr4g2271,Rte2g2286
Cl10g00048,Rpu1g6296,Rpu2g5745,Rpu3g1116,Rpu3g12877,Rbr4g2272,Rte2g2287
Cl10g00049,Rpu1g6297,Rpu2g5746,Rpu3g1115,Rpu3g12878,Rbr4g2273,Rte2g2288
Cl10g00050,Rpu1g6298,Rpu2g5747,Rpu3g1114,Rpu3g12879,,Rte2g2289
Cl10g00051,,Rpu2g5748,Rpu3g1113,Rpu3g12880,Rbr4g2274,Rte2g2290
Cl10g00052,Rpu1g6299,Rpu2g5749,Rpu3g1112,Rpu3g12881,Rbr4g2275,Rte2g2291
Cl10g00053,Rpu1g6302,Rpu2g5752,Rpu3g1108,Rpu3g12884,Rbr4g2278,Rte2g2295
Cl10g00054,Rpu1g6303,Rpu2g5753,Rpu3g1107,Rpu3g12885,Rbr4g2279,Rte2g2296
Cl10g00055,,,,,,
Cl10g00056,Rpu1g6254,Rpu2g5703,Rpu3g1158,Rpu3g12834,Rbr4g2234,Rte2g2246
Cl10g00057,Rpu1g6255,Rpu2g5704,Rpu3g1157,Rpu3g12835,Rbr4g2235,Rte2g2248
Cl10g00058,Rpu1g6258,Rpu2g5707,Rpu3g1154,Rpu3g12838,Rbr4g2238,Rte2g2251
Cl10g00059,Rpu1g6259,Rpu2g5708,Rpu3g1153,Rpu3g12839,Rbr4g2239,Rte2g2252
Cl10g00060,Rpu1g6260,Rpu2g5709,Rpu3g1152,Rpu3g12840,Rbr4g2240,Rte2g2253
Cl10g00061,,,,,,
Cl10g00062,,,,,,
Cl10g00063,,Rpu2g5710,Rpu3g1151,Rpu3g12841,Rbr4g2241,Rte2g2254
Cl10g00064,Rpu1g6261,Rpu2g5711,Rpu3g1150,Rpu3g12842,Rbr4g2242,Rte2g2255
Cl10g00065,Rpu1g6262,Rpu2g5713,Rpu3g1149,,Rbr4g2243,Rte2g2256
Cl10g00066,Rpu1g6263,,Rpu3g1148,Rpu3g12844,Rbr4g2244,Rte2g2258
Cl10g00067,,,,,,
Cl10g00068,Rpu1g6266,Rpu2g5714,Rpu3g1147,Rpu3g12847,Rbr4g2245,Rte2g2259
