Genetree,reference1,Mmi-a,Mmi-b,Han-a,Han-b,Sre-a,Sre-b,Cca-a,Cti-a,Eca-a,Cso-a
Asterales_Lsa_chr1_gene1,Lsa1g0001|XP_023756722|(41806-44896),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2,Lsa1g0002|XP_023756709|(79425-93015),none,none,none,none,none,Sre8g1378|Streb.8G013780.1|(34324111-34330783),none,Cti6g2483|CtAH06T0248300.1|(78476499-78499412),Eca7g1294|XP_043636209|(25452174-25466157),Cso2g1012|KAJ9560330.1|(18470330-18470815)
Asterales_Lsa_chr1_gene3,Lsa1g0003|XP_042753820|(109979-111454),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene4,Lsa1g0004|XP_023756711|(167245-168626),none,Mmi5g0989|KAD6119613.1|(62651411-62653210),none,none,none,Sre8g1379|Streb.8G013790.1|(34354731-34356263),none,none,Eca7g1293|XP_043635711|(25446154-25447550),none
Asterales_Lsa_chr1_gene5,Lsa1g0005|XP_023756713|(192529-194273),none,Mmi5g0988|KAD6119612.1|(62648857-62650273),none,none,none,Sre8g1380|Streb.8G013800.1|(34357184-34359019),none,Cti6g2482|CtAH06T0248200.1|(78471007-78473561),Eca7g1292|XP_043636143|(25443078-25444939),Cso2g1014|KAJ9560328.1|(18474938-18475798)
Asterales_Lsa_chr1_gene6,Lsa1g0006|XP_023756714|(237354-241687),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene7,Lsa1g0007|XP_023756717|(322483-325113),none,Mmi5g0987|KAD6119611.1|(62625586-62632136),none,none,none,Sre8g1384|Streb.8G013840.1|(34449570-34454090),none,Cti6g2480|CtAH06T0248000.2|(78447607-78455954),Eca7g1287|XP_043636160|(25380445-25386439),Cso2g1019|KAJ9560351.1|(18529067-18529234)
Asterales_Lsa_chr1_gene8,Lsa1g0008|XP_042757496|(347567-348070),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene9,Lsa1g0009|XP_023756718|(507325-508150),Mmi12g0763|KAD4584710.1|(17604772-17605290),Mmi5g0983|KAD6119607.1|(62563435-62563926),none,none,Sre1g3105|Streb.1G031050.1|(108717675-108718851),Sre8g1387|Streb.8G013870.1|(34502703-34503463),none,Cti6g2479|CtAH06T0247900.1|(78439240-78443292),Eca7g1286|XP_043637559|(25377967-25378653),none
Asterales_Lsa_chr1_gene10,Lsa1g0010|XP_042757505|(520009-525806),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene11,Lsa1g0011|XP_023746601|(624231-625977),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene12,Lsa1g0012|XP_023746547|(814993-822182),none,Mmi5g0978|KAD6119602.1|(62516883-62526533),none,none,none,Sre8g1393|Streb.8G013930.1|(34682739-34690928),Cca4g0043|XP_024972690|(1689868-1716866),Cti6g2477|CtAH06T0247700.1|(78393124-78412981),Eca7g1282|XP_043636188|(25315690-25327502),none
Asterales_Lsa_chr1_gene13,Lsa1g0013|XP_023746583|(857763-860810),none,Mmi5g0973|KAD6119597.1|(62394853-62399582),none,none,none,Sre8g1397|Streb.8G013970.1|(34885160-34889295),none,none,Eca7g1275|XP_043635848|(25163359-25168218),none
Asterales_Lsa_chr1_gene14,Lsa1g0014|XP_023746572|(931171-931515),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene15,Lsa1g0015|XP_023746595|(951987-955275),Mmi12g0767|KAD4584714.1|(17737814-17743609),none,none,none,Sre1g3107|Streb.1G031070.1|(108786389-108789653),none,none,Cti6g2474|CtAH06T0247400.1|(78267635-78270615),Eca7g1274|XP_043636842|(25155288-25160872),none
Asterales_Lsa_chr1_gene16,Lsa1g0016|XP_023746615|(982453-983825),none,Mmi5g0971|KAD6119595.1|(62330819-62331557),none,none,none,Sre8g1399|Streb.8G013990.1|(35027680-35029455),none,Cti6g2471|CtAH06T0247100.1|(78225227-78232246),Eca7g1273|XP_043636846|(25152147-25154974),Cso2g1026|KAJ9560316.1|(18768265-18768488)
Asterales_Lsa_chr1_gene17,Lsa1g0017|XP_023746617|(1026819-1032925),none,Mmi5g0968|KAD6119592.1|(62282381-62285672),none,none,none,Sre8g1401|Streb.8G014010.1|(35037267-35041619),none,Cti6g2469|CtAH06T0246900.1|(78208249-78213700),Eca7g1269|XP_043636683|(25087398-25092855),none
Asterales_Lsa_chr1_gene18,Lsa1g0018|XP_023746573|(1080959-1084261),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene19,Lsa1g0019|XP_023746605|(1106281-1109319),none,Mmi5g0967|KAD6119591.1|(62227871-62233782),Han2g1457|XP_022019864|(119620429-119623366),none,none,Sre8g1402|Streb.8G014020.1|(35166045-35170115),none,Cti6g2466|CtAH06T0246600.1|(78110601-78115449),Eca7g1267|XP_043636573|(25036900-25041075),none
Asterales_Lsa_chr1_gene20,Lsa1g0020|XP_023746569|(1110724-1114322),Mmi12g0770|KAD4584717.1|(17781777-17787894),Mmi5g0966|KAD6119590.1|(62220505-62225094),Han2g1456|XP_022019841|(119590912-119596230),none,Sre1g3112|Streb.1G031120.1|(108924424-108929491),Sre8g1403|Streb.8G014030.1|(35189074-35194098),none,Cti6g2464|CtAH06T0246400.1|(78101328-78106039),Eca7g1263|XP_043636384|(24995757-25001264),none
Asterales_Lsa_chr1_gene21,Lsa1g0021|XP_023746545|(1143299-1146019),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene22,Lsa1g0022|XP_023746575|(1176568-1178683),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene23,Lsa1g0023|XP_023746559|(1243357-1248411),none,Mmi5g0962|KAD6119586.1|(62001513-62008915),Han2g1445|XP_022020451|(118277706-118283731),none,none,Sre8g1407|Streb.8G014070.1|(35565574-35570547),Cca4g0025|XP_024972346|(1098759-1104904),Cti6g2453|CtAH06T0245300.1|(77183940-77190242),Eca7g1250|XP_043636592|(24674043-24680698),Cso2g1032|KAJ9560334.1|(19023103-19023586)
Asterales_Lsa_chr1_gene24,Lsa1g0024|XP_023746618|(1479705-1482282),none,Mmi5g0959|KAD6119583.1|(61950428-61952815),Han2g1444|XP_035839572|(118250042-118253434),none,none,Sre8g1408|Streb.8G014080.1|(35674710-35677672),Cca4g0024|XP_024973418|(1090404-1092492),Cti6g2451|CtAH06T0245100.1|(77144925-77147268),none,Cso2g1033|KAJ9560333.1|(19043176-19043319)
Asterales_Lsa_chr1_gene25,Lsa1g0025|XP_023746607|(1533116-1544260),Mmi12g0773|KAD4584720.1|(17832864-17860774),none,Han2g1442|XP_022019875|(117899463-117901921),none,Sre1g3117|Streb.1G031170.1|(109002183-109011545),Sre8g1409|Streb.8G014090.1|(35749936-35764801),Cca4g0023|XP_024972632|(1042484-1070564),Cti6g2450|CtAH06T0245000.1|(77083343-77106192),Eca7g1249|XP_043635427|(24655239-24659496),Cso2g1034|KAJ9560327.1|(19100287-19100492)
Asterales_Lsa_chr1_gene26,Lsa1g0026|XP_023746568|(1555799-1559958),none,none,Han2g1440|XP_035843184|(117724394-117729595),none,none,Sre8g1410|Streb.8G014100.1|(35812970-35817267),Cca4g0010|XP_024972334|(350054-355387),Cti6g2449|CtAH06T0244900.1|(77053006-77058358),Eca7g1248|XP_043636202|(24640119-24645553),none
Asterales_Lsa_chr1_gene27,Lsa1g0027|XP_023746566|(1560067-1562153),Mmi12g0774|KAD4584721.1|(17870407-17872190),none,none,none,Sre1g3118|Streb.1G031180.1|(109023611-109025705),none,Cca4g0011|XP_024973153|(356832-358956),none,Eca7g1247|XP_043635866|(24636888-24638956),none
Asterales_Lsa_chr1_gene28,Lsa1g0028|XP_023746543|(1579548-1581528),Mmi12g0725|KAD4584672.1|(16798323-16802685),none,Han2g1437|XP_022019899|(117520443-117525891),none,Sre2g5723|Streb.2G057230.1|(172315350-172319394),Sre8g1411|Streb.8G014110.1|(35818328-35822081),Cca4g0012|XP_024973265|(362953-371977),Cti6g2448|CtAH06T0244800.1|(77030771-77035936),Eca7g1243|XP_043637171|(24484111-24487831),none
Asterales_Lsa_chr1_gene29,Lsa1g0029|XP_042758068|(1671918-1682818),Mmi12g0776|KAD4584723.1|(17916337-17930665),none,Han2g1433|XP_022019914|(117269586-117274855),none,Sre1g3119|Streb.1G031190.1|(109040561-109049036),Sre8g1415|Streb.8G014150.1|(35989718-35998051),Cca4g0013|XP_024972665|(398389-405148),none,Eca7g1239|XP_043638136|(24406995-24410946),none
Asterales_Lsa_chr1_gene30,Lsa1g0030|XP_023746598|(1738201-1751054),Mmi12g0728|KAD4584675.1|(16870251-16877499),none,none,none,none,Sre8g1416|Streb.8G014160.1|(36095038-36108125),Cca4g0015|XP_024972696|(438587-445937),none,Eca7g1238|XP_043636747|(24388742-24395950),Cso2g1035|KAJ9560584.1|(19208820-19208874)
Asterales_Lsa_chr1_gene31,Lsa1g0031|XP_023746577|(1812092-1814380),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene32,Lsa1g0032|XP_042753821|(1825118-1826410),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene33,Lsa1g0033|XP_023746620|(1919027-1925212),Mmi12g0777|KAD4584724.1|(17947464-17954239),none,Han2g1429|XP_022019803|(116385930-116401120),none,Sre1g3120|Streb.1G031200.1|(109052800-109059753),none,Cca4g0013|XP_024972665|(398389-405148),Cti6g2447|CtAH06T0244700.1|(76966534-77019023),Eca7g1235|XP_043636559|(24349599-24356161),none
Asterales_Lsa_chr1_gene34,Lsa1g0034|XP_023746600|(1948558-1962329),none,Mmi5g0958|KAD6119582.1|(61909690-61926669),Han2g1428|XP_022019794|(116351799-116367226),none,Sre2g5724|Streb.2G057240.1|(172320704-172335072),Sre8g1418|Streb.8G014180.1|(36216280-36231488),none,Cti6g2446|CtAH06T0244600.1|(76945056-76961745),Eca7g1234|XP_043635676|(24329740-24346343),Cso2g1036|KAJ9560583.1|(19258647-19258745)
Asterales_Lsa_chr1_gene35,Lsa1g0035|XP_023746557|(1997896-2009962),none,Mmi5g0957|KAD6119581.1|(61879586-61895164),Han2g1426|XP_022019944|(115985669-116000241),none,none,Sre8g1420|Streb.8G014200.1|(36302717-36320205),none,Cti6g2444|CtAH06T0244400.1|(76849316-76888667),Eca7g1230|XP_043638538|(24278247-24297647),Cso2g1038|KAJ9560488.1|(19305439-19305525)
Asterales_Lsa_chr1_gene36,Lsa1g0036|XP_023746586|(2162973-2165458),none,Mmi5g0954|KAD6119578.1|(61802747-61819691),Han2g1421|XP_022020057|(115692897-115697258),none,none,Sre8g1425|Streb.8G014250.1|(36465842-36468575),none,Cti6g2441|CtAH06T0244100.1|(76762378-76769457),Eca7g1227|XP_043637448|(24242432-24249781),Cso2g1043|KAJ9560439.1|(19436356-19436410)
Asterales_Lsa_chr1_gene37,Lsa1g0037|XP_023746587|(2197921-2202117),none,Mmi5g0939|KAD6119563.1|(61468876-61487837),none,none,none,Sre8g1426|Streb.8G014260.1|(36472746-36478182),none,Cti6g2440|CtAH06T0244000.1|(76740265-76747934),Eca7g1226|XP_043636062|(24229419-24234284),Cso2g1045|KAJ9560438.1|(19462872-19462952)
Asterales_Lsa_chr1_gene38,Lsa1g0038|XP_023746590|(2209899-2211899),none,Mmi5g0938|KAD6119562.1|(61457512-61461828),Han2g1417|XP_022021188|(115445531-115450587),none,none,Sre8g1427|Streb.8G014270.1|(36712530-36717343),none,Cti6g2439|CtAH06T0243900.1|(76729439-76735357),Eca7g1225|XP_043635850|(24222721-24227891),none
Asterales_Lsa_chr1_gene39,Lsa1g0039|XP_023746623|(2215215-2218736),Mmi12g0779|KAD4584726.1|(17968387-17971801),none,none,Han4g1380|XP_022032554|(71131788-71134853),Sre1g3122|Streb.1G031220.1|(109103761-109107233),none,none,Cti6g2438|CtAH06T0243800.1|(76712452-76719218),Eca7g1224|XP_043638131|(24209667-24213166),none
Asterales_Lsa_chr1_gene40,Lsa1g0040|XP_023746624|(2220073-2221250),none,none,none,Han4g1377|XP_022033286|(71059501-71062131),Sre1g3124|Streb.1G031240.1|(109112533-109114914),none,none,none,Eca7g1223|XP_043638130|(24207938-24208966),Cso2g1047|KAJ9560380.1|(19489430-19489690)
Asterales_Lsa_chr1_gene41,Lsa1g0041|XP_023746625|(2221702-2228961),none,none,Han2g1416|XP_022021178|(115256190-115262935),Han4g1376|XP_022034891|(71027377-71036448),none,Sre8g1428|Streb.8G014280.1|(36751963-36760096),none,Cti6g2436|CtAH06T0243600.1|(76693230-76701902),Eca7g1222|XP_043637486|(24201607-24207537),Cso2g1048|KAJ9560383.1|(19500975-19501315)
Asterales_Lsa_chr1_gene42,Lsa1g0042|XP_042757597|(2229857-2236530),none,Mmi5g0937|KAD6119561.1|(61395622-61419724),Han2g1414|XP_022020507|(115191705-115198559),none,Sre2g5729|Streb.2G057290.1|(172404836-172427897),Sre8g1429|Streb.8G014290.1|(36787229-36799634),none,Cti6g2435|CtAH06T0243500.1|(76656966-76679955),Eca7g1221|XP_043638129|(24178376-24189590),Cso2g1049|KAJ9560381.1|(19521786-19521926)
Asterales_Lsa_chr1_gene43,Lsa1g0043|XP_023746551|(2274633-2277955),none,Mmi5g0936|KAD6119560.1|(61390200-61393704),Han2g1413|XP_022020530|(115181803-115184971),none,none,Sre8g1431|Streb.8G014310.1|(36823866-36827819),none,Cti6g2433|CtAH06T0243300.1|(76643255-76647660),Eca7g1216|XP_043637931|(24078278-24083530),Cso2g1072|KAJ9560553.1|(20094116-20094586)
Asterales_Lsa_chr1_gene44,Lsa1g0044|XP_042758276|(2357326-2371278),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene45,Lsa1g0045|XP_023746613|(2454895-2457064),none,Mmi5g0935|KAD6119559.1|(61344367-61347482),Han2g1406|XP_022020553|(114606404-114608421),Han4g1375|XP_022033285|(70945976-70948209),Sre2g5748|Streb.2G057480.1|(172737692-172740328),Sre8g1436|Streb.8G014360.1|(37063725-37065624),Cca4g0005|XP_024973371|(182653-184545),Cti6g2432|CtAH06T0243200.1|(76607681-76610111),Eca7g1215|XP_043637616|(24049217-24051676),Cso1g3743|KAJ9567552.1|(95749629-95749961)
Asterales_Lsa_chr1_gene46,Lsa1g0046|XP_023746581|(2602383-2603102),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene47,Lsa1g0047|XP_023746582|(2603305-2606326),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene48,Lsa1g0048|XP_023746544|(2703101-2707328),none,Mmi5g0934|KAD6119558.1|(61332336-61334902),none,none,Sre2g5750|Streb.2G057500.1|(172781532-172782497),none,none,Cti6g2429|CtAH06T0242900.1|(76517808-76521364),Eca7g1213|XP_043636899|(23995167-23999240),none
Asterales_Lsa_chr1_gene49,Lsa1g0049|XP_042758370|(2715380-2721403),none,Mmi5g0933|KAD6119557.1|(61300850-61315590),Han2g1404|XP_022020599|(114322850-114341300),none,none,Sre8g1437|Streb.8G014370.1|(37138142-37145397),none,Cti6g2428|CtAH06T0242800.1|(76488083-76511147),Eca7g1212|XP_043637625|(23969477-23991754),none
Asterales_Lsa_chr1_gene50,Lsa1g0050|XP_023746611|(2800765-2801672),none,none,none,Han4g1373|XP_022034670|(70807544-70808738),Sre1g3128|Streb.1G031280.1|(109197550-109198370),none,none,Cti6g2427|CtAH06T0242700.1|(76463339-76467294),Eca7g1211|XP_043637432|(23956434-23957439),none
Asterales_Lsa_chr1_gene51,Lsa1g0051|XP_042758568|(2922517-2929171),none,Mmi5g0932|KAD6119556.1|(61285413-61286837),Han2g1402|XP_022020627|(114224294-114226057),none,none,Sre8g1438|Streb.8G014380.1|(37175125-37176533),none,none,Eca7g1210|XP_043637571|(23915400-23916835),Cso2g1092|KAJ9560577.1|(20280699-20281026)
Asterales_Lsa_chr1_gene52,Lsa1g0052|XP_023746584|(2959334-2962278),none,Mmi5g0931|KAD6119555.1|(61271329-61281009),Han2g1401|XP_022020637|(114156868-114164193),none,none,Sre8g1439|Streb.8G014390.1|(37228515-37234574),none,Cti6g2425|CtAH06T0242500.1|(76421871-76431990),Eca7g1207|XP_043636019|(23892589-23897355),Cso2g1093|KAJ9560582.1|(20302382-20302532)
Asterales_Lsa_chr1_gene53,Lsa1g0053|XP_023746596|(3001898-3004716),Mmi12g0733|KAD4584680.1|(17002646-17005043),none,Han2g1400|XP_022020651|(114101010-114104148),Han4g1370|XP_022012450|(70311860-70314703),Sre1g3129|Streb.1G031290.1|(109249134-109252166),none,Cca4g0003|XP_024972758|(54410-57189),Cti6g2424|CtAH06T0242400.2|(76404508-76408328),Eca7g1206|XP_043637365|(23881189-23884953),none
Asterales_Lsa_chr1_gene54,Lsa1g0054|XP_023746553|(3052904-3057601),none,Mmi5g0930|KAD6119554.1|(61257281-61264629),Han2g1399|XP_022020675|(114010162-114019919),none,none,Sre8g1440|Streb.8G014400.1|(37296112-37305118),none,Cti6g2423|CtAH06T0242300.1|(76352831-76369744),Eca7g1204|XP_043636065|(23835930-23847472),Cso2g1094|KAJ9560635.1|(20393777-20393956)
Asterales_Lsa_chr1_gene55,Lsa1g0055|XP_023746614|(3096634-3099847),Mmi12g0786|KAD4584733.1|(18150111-18153133),Mmi5g0929|KAD6119553.1|(61193184-61205845),Han2g1397|XP_022020425|(113909654-113914208),none,none,Sre8g1442|Streb.8G014420.1|(37308096-37310731),none,Cti6g2418|CtAH06T0241800.1|(76220403-76226303),none,Cso2g1098|KAJ9560633.1|(20454158-20454210)
Asterales_Lsa_chr1_gene56,Lsa1g0056|XP_023746585|(3100280-3102611),none,Mmi5g0928|KAD6119552.1|(61188180-61192642),Han2g1396|XP_022020426|(113905981-113909238),none,none,Sre8g1447|Streb.8G014470.1|(37371604-37376371),none,Cti6g2416|CtAH06T0241600.1|(76204213-76213019),Eca7g1202|XP_043636909|(23807371-23811016),Cso2g1099|KAJ9560634.1|(20466338-20466736)
Asterales_Lsa_chr1_gene57,Lsa1g0057|XP_023746603|(3109937-3111996),Mmi12g0787|KAD4584734.1|(18160042-18162309),Mmi5g0926|KAD6119550.1|(61162332-61168129),Han2g1394|XP_022020440|(113864886-113869355),Han4g1368|XP_021977633|(69788692-69793870),Sre1g3132|Streb.1G031320.1|(109326521-109330482),Sre8g1448|Streb.8G014480.1|(37520494-37522977),none,Cti6g2415|CtAH06T0241500.1|(76183237-76189250),Eca7g1200|XP_043636345|(23793249-23797609),Cso2g1100|KAJ9560342.1|(20493923-20493981)
Asterales_Lsa_chr1_gene58,Lsa1g0058|XP_023746550|(3113473-3116235),none,Mmi5g0924|KAD6119548.1|(61148497-61153526),Han2g1389|XP_022020322|(113176345-113181544),Han4g1367|XP_021977632|(69784863-69788212),none,Sre8g1449|Streb.8G014490.1|(37634269-37639097),none,Cti6g2414|CtAH06T0241400.1|(76173488-76180139),Eca7g1199|XP_043638210|(23784015-23791409),Cso2g1101|KAJ9560343.1|(20504216-20505008)
Asterales_Lsa_chr1_gene59,Lsa1g0059|XP_023746597|(3118147-3120891),Mmi12g0789|KAD4584736.1|(18177096-18184910),Mmi5g0921|KAD6119545.1|(61061886-61074996),Han2g1386|XP_022015983|(112961271-112967098),none,Sre1g3134|Streb.1G031340.1|(109348609-109353188),Sre8g1450|Streb.8G014500.1|(37669946-37674733),none,Cti6g2413|CtAH06T0241300.1|(76153439-76159102),Eca7g1197|XP_043636276|(23716797-23722535),Cso2g1102|KAJ9560341.1|(20510183-20510536)
Asterales_Lsa_chr1_gene60,Lsa1g0060|XP_023746616|(3121870-3123961),Mmi12g0791|KAD4584738.1|(18243573-18245238),none,none,Han4g1363|XP_022035204|(69033298-69035782),Sre1g3135|Streb.1G031350.1|(109371513-109373516),none,none,Cti6g2412|CtAH06T0241200.1|(76149695-76152100),Eca7g1193|XP_043636807|(23672890-23676501),none
Asterales_Lsa_chr1_gene61,Lsa1g0061|XP_023756196|(3323346-3331653),Mmi12g0793|KAD4584740.1|(18304276-18311719),none,none,none,Sre1g3138|Streb.1G031380.1|(109462822-109466544),none,none,none,Eca7g1192|XP_043636031|(23647051-23652104),none
Asterales_Lsa_chr1_gene62,Lsa1g0062|XP_023756197|(3364185-3371475),Mmi12g0797|KAD4584744.1|(18546756-18550140),none,Han2g1385|XP_021993011|(112904604-112929714),Han4g1361|XP_022021174|(68513420-68523888),Sre1g3139|Streb.1G031390.1|(109485366-109489769),none,none,Cti6g2411|CtAH06T0241100.1|(76110221-76128027),Eca7g1191|XP_043637492|(23631321-23644465),Cso1g3741|KAJ9567647.1|(95668458-95669240)
Asterales_Lsa_chr1_gene63,Lsa1g0063|XP_023762344|(3453087-3454714),Mmi12g0798|KAD4584745.1|(18562928-18563767),none,Han2g1383|XP_022016010|(112832685-112836035),Han4g1354|XP_022021495|(67760049-67773014),Sre1g3140|Streb.1G031400.1|(109512213-109515413),none,Cca4g0318|XP_024973191|(11762151-11765096),Cti6g2410|CtAH06T0241000.1|(76091589-76093105),Eca7g1190|XP_043636315|(23621365-23625459),Cso2g1103|KAJ9560459.1|(20597201-20597634)
Asterales_Lsa_chr1_gene64,Lsa1g0064|XP_042751471|(3465228-3467759),none,none,none,none,none,none,none,none,none,none
